"line","scenario","scenario_name","query","axes"
"64","04-focus","专注模式","帮我做个卡片,显示专注5小时18分钟,点开能看日程和完成情况","{""size"":""2x4"",""component"":""Column"",""binding"":""formatString"",""click"":""deeplink_clock"",""data"":""calendar"",""surface"":""colored-root"",""composition"":""hero-left"",""status"":""confirm"",""gradient"":""none"",""asset"":""glyph"",""template"":""row""}"
"65","04-focus","专注模式","整个专注计时卡片嘛，数字会变，点一下能进app，红色提醒我撑不住了","{""size"":""2x4"",""component"":""Column"",""binding"":""expression"",""click"":""deeplink_weather"",""data"":""static"",""surface"":""tinted-surface"",""composition"":""meter-focus"",""status"":""warning"",""gradient"":""action-fill"",""asset"":""none"",""template"":""none""}"
"66","04-focus","专注模式","给我做个专注卡片嘛，背景图上叠字那种，点一下跳到应用里，要看到已完成","{""size"":""2x2"",""component"":""Stack"",""binding"":""path"",""click"":""deeplink_clock"",""data"":""static"",""surface"":""plain"",""composition"":""hero-left"",""status"":""confirm"",""gradient"":""action-fill"",""asset"":""glyph"",""template"":""list""}"
"67","04-focus","专注模式","整个专注统计卡片呗,要看数据比例,点一下能进系统,能读日历,显示已完成","{""size"":""2x2"",""component"":""Progress"",""binding"":""literal"",""click"":""intent_calendar"",""data"":""calendar"",""surface"":""image-derived"",""composition"":""hero-top"",""status"":""confirm"",""gradient"":""temporal-band"",""asset"":""icon"",""template"":""row""}"
"68","04-focus","专注模式","帮我整个按钮,点一下能跳到番茄钟app吧","{""size"":""2x4"",""component"":""Button"",""binding"":""path"",""click"":""deeplink_weather"",""data"":""static"",""surface"":""split-surface"",""composition"":""meter-focus"",""status"":""none"",""gradient"":""temporal-band"",""asset"":""glyph"",""template"":""column""}"
"69","04-focus","专注模式","整个免打扰卡片,点一下就能打电话,显示今天天气","{""size"":""2x4"",""component"":""Row"",""binding"":""literal"",""click"":""clickToCallPhone"",""data"":""weather"",""surface"":""plain"",""composition"":""ambient-root"",""status"":""none"",""gradient"":""ambient-band"",""asset"":""glyph"",""template"":""row""}"
"70","04-focus","专注模式","弄个今日专注时长卡片，那个小时数会变，点进去能看每日明细","{""size"":""2x4"",""component"":""Text"",""binding"":""expression"",""click"":""intent_setting_switch"",""data"":""static"",""surface"":""image-derived"",""composition"":""meter-focus"",""status"":""none"",""gradient"":""temporal-band"",""asset"":""none"",""template"":""row""}"
"71","04-focus","专注模式","晚上熬夜赶工总是忍不住看手机，帮我做个深色渐变的卡片。上面纵向堆叠今晚的专注步数等动态数据和天气信息，要有磨砂玻璃的高级质感。中间嵌一块滚动列表让我列出今天的专注任务，如果不小心超时了要显示红色的超限告警，点一下能跳到运动健康应用里看详细数据。","{""size"":""2x4"",""component"":""Column"",""binding"":""expression"",""click"":""deeplink_health"",""data"":""weather"",""surface"":""soft-material"",""composition"":""paper-panel"",""status"":""alert"",""gradient"":""temporal-band"",""asset"":""none"",""template"":""list""}"
"72","04-focus","专注模式","帮我做个暗黑模式的专注卡，左边大字放“冥想中”和静音的符号，右边横着重复排几个白噪音选项比如风声、雨声。下面放几行固定文案写上常去的那个咖啡馆地址，点一下能触发地图导航过去，整体氛围搞个睡眠那种柔和的环境光渐变。","{""size"":""2x2"",""component"":""Column"",""binding"":""literal"",""click"":""intent_navigate"",""data"":""static"",""surface"":""dark-stage"",""composition"":""hero-left"",""status"":""none"",""gradient"":""ambient-band"",""asset"":""glyph"",""template"":""row""}"
"73","04-focus","专注模式","做个纯文字和色块拼成的极简时钟卡片，不用任何图片，分区域铺不同颜色的底，中间是大字静态文案写着「保持专注，拒绝内耗」，用「◐」当图标点缀下，帮我跳转到闹钟应用去设置倒计时，顺便读一下今天的天气数据展示在嵌面的板块上，背景来个深蓝到黑的渐变像黑夜一样。","{""size"":""2x2"",""component"":""Image"",""binding"":""literal"",""click"":""deeplink_clock"",""data"":""weather"",""surface"":""split-surface"",""composition"":""paper-panel"",""status"":""none"",""gradient"":""temporal-band"",""asset"":""none"",""template"":""none""}"
"74","04-focus","专注模式","做个卡片，中间放个环形图显示当前手机电量，背景搞个夜晚深色渐变，上面横向排好几项白噪音选项，外圈用字符拼图标，下半部分换种底色，显示个“今日目标已完成”的正向状态，再放个静态示例日程事件，点进去就能看具体内容。","{""size"":""2x4"",""component"":""Progress"",""binding"":""expression"",""click"":""intent_calendar"",""data"":""static"",""surface"":""split-surface"",""composition"":""meter-focus"",""status"":""confirm"",""gradient"":""temporal-band"",""asset"":""glyph"",""template"":""row""}"
"75","04-focus","专注模式","做个白噪音专注卡片，主要看左边的睡眠月亮图标，右边横着排几个不同的白噪音选项。弄个环形进度圈，中间显示“今日已超限45分钟”，字色变成红色提醒我专注时间不够，背景用深蓝黑夜风，不要那种能点击跳转的，就放桌上当个摆设提醒自己。","{""size"":""2x2"",""component"":""Image"",""binding"":""formatString"",""click"":""none"",""data"":""static"",""surface"":""plain"",""composition"":""meter-focus"",""status"":""alert"",""gradient"":""temporal-band"",""asset"":""icon"",""template"":""row""}"
"76","04-focus","专注模式","帮我做个主题色背景的深度专注卡片，用红黑那种紧迫感渐变。里面信息从上到下排：拼一行'今日超时3次'的文字和动态数值，中间用系统警告图标标个红色的告警状态，底下嵌个面板块，里面纵向列三个紧急联系人，一键就能开启系统勿扰模式。","{""size"":""2x2"",""component"":""Column"",""binding"":""formatString"",""click"":""intent_setting_switch"",""data"":""static"",""surface"":""colored-root"",""composition"":""paper-panel"",""status"":""alert"",""gradient"":""action-fill"",""asset"":""icon"",""template"":""column""}"
"77","04-focus","专注模式","我最近在考证，每天要复习不同科目，给我做个浅色背景的复习专注卡片。中间是个大圆环显示学习进度，下面横着排开好几个科目，像""距离考试还有45天""这种文字和数字拼在一起的内容。列表横着滑动能看到每个科目的番茄钟倒计时，全用文字符号代替图标就行。","{""size"":""2x4"",""component"":""List"",""binding"":""formatString"",""click"":""intent_calendar"",""data"":""static"",""surface"":""tinted-surface"",""composition"":""meter-focus"",""status"":""none"",""gradient"":""none"",""asset"":""glyph"",""template"":""row""}"
"78","04-focus","专注模式","给我做一个磨砂质感的长期目标卡片，带点时间夜晚流逝的渐变效果，中间是个圆环显示“考研倒计时 45 天”，背景读取天气数据用“❄”做图标，上下纵向重复排列我每天的专注时间段，比如“08:00-10:00 英语”、“14:00-16:00 政治”，点卡片能跳到天气应用看适不适合出门背书。","{""size"":""2x2"",""component"":""Progress"",""binding"":""literal"",""click"":""deeplink_weather"",""data"":""weather"",""surface"":""soft-material"",""composition"":""meter-focus"",""status"":""none"",""gradient"":""temporal-band"",""asset"":""glyph"",""template"":""column""}"
"79","04-focus","专注模式","给我做个主题色铺满背景的日程专注卡片，要适合夜晚的深色渐变。整体左右排版，用`历`字做图标，每一条日程事件都要纵向重复排列下来，比如左边写'距离项目交付还有3天'，右边放个圆环显示专注进度。还要读取一下明天的天气情况放上去，点一下能直接进那个日程事件的详情页。","{""size"":""2x4"",""component"":""Row"",""binding"":""literal"",""click"":""intent_calendar"",""data"":""weather"",""surface"":""colored-root"",""composition"":""meter-focus"",""status"":""none"",""gradient"":""temporal-band"",""asset"":""glyph"",""template"":""column""}"
"80","04-focus","专注模式","我想弄个带浅色底色的白噪音专注卡片，中间是个环形的进度比例盘，显示动态的剩余时间25分钟，底部用【音1】【音2】【音3】这种字符图标横向排列好几个不同氛围的音乐选项，配上时间流逝的深色渐变，点一下就能跳到音乐应用里直接播放对应的助眠白噪音歌单。","{""size"":""2x4"",""component"":""Progress"",""binding"":""expression"",""click"":""deeplink_music"",""data"":""static"",""surface"":""tinted-surface"",""composition"":""meter-focus"",""status"":""none"",""gradient"":""temporal-band"",""asset"":""glyph"",""template"":""row""}"
"81","05-agenda","议程提醒","帮我做个会议提醒,显示一行带时间的,点一下能进系统操作,还能显示天气","{""size"":""2x2"",""component"":""Row"",""binding"":""formatString"",""click"":""intent_calendar"",""data"":""weather"",""surface"":""plain"",""composition"":""meter-focus"",""status"":""none"",""gradient"":""none"",""asset"":""none"",""template"":""column""}"
"82","05-agenda","议程提醒","显示还剩多少分钟,点一下导航去会议室,自动读日历,显示已入会","{""size"":""2x2"",""component"":""Divider"",""binding"":""formatString"",""click"":""intent_navigate"",""data"":""calendar"",""surface"":""colored-root"",""composition"":""meter-focus"",""status"":""confirm"",""gradient"":""ambient-band"",""asset"":""icon"",""template"":""row""}"
"83","05-agenda","议程提醒","弄个议程提醒,倒计时数字会变,点一下进系统,日程从日历读,快开始提醒我","{""size"":""2x2"",""component"":""Divider"",""binding"":""expression"",""click"":""intent_calendar"",""data"":""calendar"",""surface"":""tinted-surface"",""composition"":""ambient-root"",""status"":""warning"",""gradient"":""none"",""asset"":""none"",""template"":""list""}"
"84","05-agenda","议程提醒","整个时间轴图那种，点一下能进会议详情，日历日程要读出来","{""size"":""2x4"",""component"":""Image"",""binding"":""literal"",""click"":""intent_calendar"",""data"":""calendar"",""surface"":""plain"",""composition"":""split-action"",""status"":""none"",""gradient"":""temporal-band"",""asset"":""icon"",""template"":""column""}"
"85","05-agenda","议程提醒","做个提醒卡 点了能跳到日历app 能读下天气 还要提示我快迟到了","{""size"":""2x2"",""component"":""Divider"",""binding"":""path"",""click"":""deeplink_music"",""data"":""weather"",""surface"":""plain"",""composition"":""paper-panel"",""status"":""warning"",""gradient"":""none"",""asset"":""icon"",""template"":""column""}"
"86","05-agenda","议程提醒","整个背景图带文字的会议提醒 一行带数字 从日历读 点一下跳应用里 红色那种快迟到的","{""size"":""2x2"",""component"":""Stack"",""binding"":""formatString"",""click"":""deeplink_music"",""data"":""calendar"",""surface"":""image-derived"",""composition"":""hero-left"",""status"":""alert"",""gradient"":""none"",""asset"":""icon"",""template"":""column""}"
"87","05-agenda","议程提醒","整个显示时间的卡片，点一下打开日历看看今天有啥会","{""size"":""2x2"",""component"":""Divider"",""binding"":""formatString"",""click"":""deeplink_clock"",""data"":""calendar"",""surface"":""plain"",""composition"":""paper-panel"",""status"":""none"",""gradient"":""ambient-band"",""asset"":""icon"",""template"":""column""}"
"88","05-agenda","议程提醒","整个背景图带文字那种会议提醒 从日历读日程的 点一下跳进去 快迟到那种嘛","{""size"":""2x4"",""component"":""Stack"",""binding"":""literal"",""click"":""deeplink_clock"",""data"":""calendar"",""surface"":""colored-root"",""composition"":""split-action"",""status"":""warning"",""gradient"":""none"",""asset"":""none"",""template"":""list""}"
"89","05-agenda","议程提醒","整个议程清单 列一排下午的会 上面带倒计时数字 点了进日历 还要提醒我快不行了","{""size"":""2x2"",""component"":""List"",""binding"":""formatString"",""click"":""intent_calendar"",""data"":""static"",""surface"":""soft-material"",""composition"":""split-action"",""status"":""warning"",""gradient"":""none"",""asset"":""none"",""template"":""column""}"
"90","05-agenda","议程提醒","帮我弄个提醒 上面有行字带5点那种 点了能跳到日历app 从日历读日程","{""size"":""2x4"",""component"":""Column"",""binding"":""formatString"",""click"":""deeplink_settings"",""data"":""calendar"",""surface"":""tinted-surface"",""composition"":""hero-left"",""status"":""none"",""gradient"":""action-fill"",""asset"":""none"",""template"":""list""}"
"91","05-agenda","议程提醒","帮我做个会议室巡检清单的滚动卡片，不用放任何图片，纯文字和色块就行。读取日历今天的巡检日程，列表里每一项都可以勾选打勾，并且这块列表底色用深蓝色，上面那个嵌着的仪器状态面板块用浅灰色。中间显示“今日已检查设备4台”这种动态数据，点一下任务可以进去看详情。如果哪个会议室被占用了，直接用红字标出“取消预约”的危险告警状态。","{""size"":""2x4"",""component"":""Checkbox"",""binding"":""expression"",""click"":""intent_calendar"",""data"":""calendar"",""surface"":""split-surface"",""composition"":""paper-panel"",""status"":""alert"",""gradient"":""none"",""asset"":""none"",""template"":""list""}"
"92","05-agenda","议程提醒","我想弄个纯白色的会议日程卡片，左边排今天的会议列表，右边放个详情按钮能点进去看。今天外面下雨读一下天气数据放标题旁边，下面排了横向滚动的待办列表，有个会马上迟到了用橙红色渐变警示一下，图标别用画的直接用感叹号字符。","{""size"":""2x4"",""component"":""List"",""binding"":""literal"",""click"":""intent_calendar"",""data"":""weather"",""surface"":""plain"",""composition"":""split-action"",""status"":""warning"",""gradient"":""action-fill"",""asset"":""glyph"",""template"":""row""}"
"93","05-agenda","议程提醒","每天通勤经常忘了下午的外出日程，帮我做个浅色调卡片，左边放个大大的云朵图标和当前实时的PM2.5数值，右边把日历里今天所有外出日程横向排开，加上定位图标，点一下能查看或进入具体的日程事件详情，结合天气数据提醒我带伞。","{""size"":""2x4"",""component"":""Image"",""binding"":""expression"",""click"":""intent_calendar"",""data"":""weather"",""surface"":""tinted-surface"",""composition"":""hero-left"",""status"":""none"",""gradient"":""none"",""asset"":""icon"",""template"":""row""}"
"94","05-agenda","议程提醒","帮我做个出门通勤参考卡片，就用你自带的静态示例数据，不用读日历。卡片用不同的底色把时间、天气、路况纵向堆叠排列，左右分信息区和动作区，右边弄个“查看详情”的按钮直接跳转到天气APP。不要用图片，全用纯文字和色块表达，也别弄什么渐变，简单点就行。","{""size"":""2x4"",""component"":""Column"",""binding"":""literal"",""click"":""deeplink_weather"",""data"":""static"",""surface"":""split-surface"",""composition"":""split-action"",""status"":""none"",""gradient"":""none"",""asset"":""none"",""template"":""column""}"
"95","05-agenda","议程提醒","给我做个带浅色底色的日程卡片，整体加点时间流逝那种柔和的暗色渐变。上面要按时间读取我日历里的行程安排，分成两块，中间画根分隔线隔开。上面区块放具体的会议事件，点一下能直接进日程详情；下面放一些静态的办会要求说明。最上面要拼接显示一句“距离活动开始还有3天”，其中这个3天是每天动态更新的。会议前面加上内置的钟表和地点语义图标，再往下纵向多排几项接下来的次要议程。","{""size"":""2x4"",""component"":""Divider"",""binding"":""formatString"",""click"":""intent_calendar"",""data"":""calendar"",""surface"":""tinted-surface"",""composition"":""paper-panel"",""status"":""none"",""gradient"":""temporal-band"",""asset"":""icon"",""template"":""column""}"
"96","05-agenda","议程提醒","帮我做个客户联络提醒卡片，用磨砂柔和材质做成内嵌的小面板块。把今天要联系的几个重要客户横向并排排列，上方纵向堆叠显示客户名字和固定文案“建议立即拨打”，点一下就能一键拨打电话给对方，背景用点深蓝色的夜晚倒计时渐变，不要放任何图片用纯文字块就行。","{""size"":""2x4"",""component"":""Column"",""binding"":""literal"",""click"":""clickToCallPhone"",""data"":""calendar"",""surface"":""soft-material"",""composition"":""paper-panel"",""status"":""none"",""gradient"":""temporal-band"",""asset"":""none"",""template"":""row""}"
"97","05-agenda","议程提醒","我最近行程太满经常赶场，帮我做个横向滑动的会议卡片。卡片铺满我的主题色背景，叠加一个时间倒计时的环形进度框，正中间大字写“距离下个会议还有1小时12分”。底下把今天接下来的几场会横向排列，每项带个定位的地理图标，点击就能直接唤起地图导航去会场。整体配色用偏暗夜倒计时的渐变，别用特殊状态色。","{""size"":""2x4"",""component"":""Stack"",""binding"":""formatString"",""click"":""intent_navigate"",""data"":""calendar"",""surface"":""colored-root"",""composition"":""meter-focus"",""status"":""none"",""gradient"":""temporal-band"",""asset"":""icon"",""template"":""row""}"
"98","05-agenda","议程提醒","我经常忘记当天的行程到底完没完成，帮我做个卡片，最上方大字固定写着“今日行程概览”，直接读取日历数据，纵向堆叠排列下面所有的已办事项，背景上下分区用不同的浅色底块区分开来，不用渐变，点最上面的大字可以直接跳转到天气应用，对已经完成的行程打个绿色对号图标表示正向状态。","{""size"":""2x2"",""component"":""Column"",""binding"":""literal"",""click"":""deeplink_weather"",""data"":""calendar"",""surface"":""split-surface"",""composition"":""hero-top"",""status"":""confirm"",""gradient"":""none"",""asset"":""icon"",""template"":""column""}"
"99","05-agenda","议程提醒","帮我做一个行程管理卡片，不用图片，纯色块拼。背景用那种模拟深夜星空的渐变色，分左右两块区域，左边是信息区，用分隔线划开，上面显示日历接下来的议程和地点，如果遇到迟到风险就显示红色感叹号；右边是动作区，有个跳转按钮能直接打开闹钟应用去设定叫醒时间，顺便在卡片顶部标个今日步数“已行走3500步”。","{""size"":""2x4"",""component"":""Divider"",""binding"":""expression"",""click"":""deeplink_clock"",""data"":""calendar"",""surface"":""image-derived"",""composition"":""split-action"",""status"":""warning"",""gradient"":""ambient-band"",""asset"":""none"",""template"":""column""}"
"100","05-agenda","议程提醒","帮我做个白底简洁风格的会议时间轴卡片，左边竖着放一条带夜间深色渐变的主轴线和小星月的语义图标。右边纵向把今天接下来的几场夜会挨个堆叠排开，中间用细线分隔开分组。主要就显示日历里的固定时间文字和会议室号，点一下能直接跳进日程事件详情就行，啥动态数值都不用加。","{""size"":""2x4"",""component"":""Divider"",""binding"":""literal"",""click"":""intent_calendar"",""data"":""calendar"",""surface"":""plain"",""composition"":""hero-left"",""status"":""none"",""gradient"":""ambient-band"",""asset"":""icon"",""template"":""column""}"
